N,p_m,p_c,trn_size,iteration,generation,best_fitness,avg_fitness
100,0.05,0.02,20,0,277,-103.27531841800928,-213.50372287403403
100,0.05,0.02,20,0,278,-150.17742799230606,-228.6748332974446
100,0.05,0.02,20,0,279,-169.24428900898053,-232.50401057716937
100,0.05,0.02,20,0,280,-138.46648326421052,-224.05042711539517
100,0.05,0.02,20,0,281,-128.70318264754368,-232.0976921364558
100,0.05,0.02,20,0,282,-126.8187996428785,-212.0285215245648
100,0.05,0.02,20,0,283,-143.84669896727925,-245.12953070572593
100,0.05,0.02,20,0,284,-111.84015371452148,-220.43409095173368
100,0.05,0.02,20,0,285,-141.09772228646443,-208.27079490077878
100,0.05,0.02,20,0,286,-180.24937810560445,-222.54117331648624
100,0.05,0.02,20,0,287,-137.53945729601884,-216.92199285104115
100,0.05,0.02,20,0,288,-159.19349550499538,-246.1200957040909
100,0.05,0.02,20,0,289,-128.47076812334268,-207.9957603942121
100,0.05,0.02,20,0,290,-176.3648826841678,-215.6086433924039
100,0.05,0.02,20,0,291,-65.5105618091294,-196.20862651387054
100,0.05,0.02,20,0,292,-126.8187996428785,-191.31536355481606
100,0.05,0.02,20,0,293,-134.23149572268392,-220.27332439664545
100,0.05,0.02,20,0,294,-134.9799959983992,-227.5941367014941
100,0.05,0.02,20,0,295,-160.99019513592785,-202.66178899995666
100,0.05,0.02,20,0,296,-115.22167621838005,-226.4616025754146
100,0.05,0.02,20,0,297,-135.69463863518345,-206.2950916567081
100,0.05,0.02,20,0,298,-115.22167621838005,-210.46585938091522
100,0.05,0.02,20,0,299,-173.66563145999496,-238.2729039795974
100,0.05,0.02,20,1,0,-133.10405388322278,-215.52115165378663
100,0.05,0.02,20,1,1,-96.48493702538309,-204.2169193227406
100,0.05,0.02,20,1,2,-131.23851208678758,-223.9032260555774
100,0.05,0.02,20,1,3,-67.2965719651132,-194.85678237793297
100,0.05,0.02,20,1,4,-114.72926703662543,-201.601884007427
100,0.05,0.02,20,1,5,-137.53945729601884,-222.69389788512234
100,0.05,0.02,20,1,6,-128.70318264754368,-236.1538036189473
100,0.05,0.02,20,1,7,-138.38202392696772,-233.81883760528072
100,0.05,0.02,20,1,8,-162.8852795752515,-221.340881733832
100,0.05,0.02,20,1,9,13.596875762567151,-177.45502063769152
100,0.05,0.02,20,1,10,-125.88027898781785,-235.8748359489501
100,0.05,0.02,20,1,11,-138.46648326421052,-232.15333971162926
100,0.05,0.02,20,1,12,-121.2310562561766,-197.40940986213045
100,0.05,0.02,20,1,13,-158.3011387029333,-227.81882481670553
100,0.05,0.02,20,1,14,-138.16419889536138,-233.10503892759152
100,0.05,0.02,20,1,15,-132.169905660283,-213.98387085440535
100,0.05,0.02,20,1,16,-132.169905660283,-210.73937034333284
100,0.05,0.02,20,1,17,-126.8187996428785,-221.0552723319728
100,0.05,0.02,20,1,18,-137.53945729601884,-232.97729844365523
100,0.05,0.02,20,1,19,-161.89412298131649,-231.50501636713935
100,0.05,0.02,20,1,20,-135.69463863518345,-211.6163205413487
100,0.05,0.02,20,1,21,-128.70318264754368,-207.21208292573812
100,0.05,0.02,20,1,22,-163.71219600798315,-225.18495790862082
100,0.05,0.02,20,1,23,-80.5411901469428,-217.50883116343374
100,0.05,0.02,20,1,24,-109.92215489043241,-228.7708841341065
100,0.05,0.02,20,1,25,-136.61544808322665,-232.8666156722722
100,0.05,0.02,20,1,26,-92.20189569201838,-222.96882997848002
100,0.05,0.02,20,1,27,-192.1536192416212,-230.62187454577304
100,0.05,0.02,20,1,28,-166.6476151587624,-236.12376148246776
100,0.05,0.02,20,1,29,-137.81098370604357,-211.52208821150955
100,0.05,0.02,20,1,30,-99.3846820423443,-206.55498364502571
100,0.05,0.02,20,1,31,-129.32728814430158,-218.56283656766612
100,0.05,0.02,20,1,32,-126.8187996428785,-235.49235701184872
100,0.05,0.02,20,1,33,-139.28317965096906,-226.1158958440324
100,0.05,0.02,20,1,34,-134.23149572268392,-237.4366341719233
100,0.05,0.02,20,1,35,-127.75981574503821,-235.3990567312942
100,0.05,0.02,20,1,36,-132.49761899362676,-237.77271304579824
100,0.05,0.02,20,1,37,-51.47640458974745,-202.0885400549381
100,0.05,0.02,20,1,38,-126.8187996428785,-221.74445193692318
100,0.05,0.02,20,1,39,-122.43416490252568,-230.39821945176126
100,0.05,0.02,20,1,40,-126.8187996428785,-212.52514600244965
100,0.05,0.02,20,1,41,-196.86520991955976,-236.6668853601116
100,0.05,0.02,20,1,42,-128.3482438588474,-210.82267583240449
100,0.05,0.02,20,1,43,-125.88027898781785,-207.5339576778839
100,0.05,0.02,20,1,44,-125.88027898781785,-205.4893766426944
100,0.05,0.02,20,1,45,-127.75981574503821,-221.99665983730304
100,0.05,0.02,20,1,46,-176.478150704935,-241.54614504519745
100,0.05,0.02,20,1,47,-162.01063709417264,-230.67452115077552
100,0.05,0.02,20,1,48,-132.26812023536854,-211.72090004450192
100,0.05,0.02,20,1,49,-130.31004303683676,-221.44804439113287
100,0.05,0.02,20,1,50,-105.60701700396552,-199.00131640426793
100,0.05,0.02,20,1,51,-128.70318264754368,-217.4867827050859
100,0.05,0.02,20,1,52,-132.169905660283,-217.7980363401818
100,0.05,0.02,20,1,53,-137.53945729601884,-228.08166448180668
100,0.05,0.02,20,1,54,-126.8187996428785,-203.6563129256345
100,0.05,0.02,20,1,55,-121.51548460377916,-203.93451629908296
100,0.05,0.02,20,1,56,-133.10405388322278,-211.82154327718152
100,0.05,0.02,20,1,57,-182.83937925449163,-236.57356398996708
100,0.05,0.02,20,1,58,-137.53945729601884,-220.70607408405306
100,0.05,0.02,20,1,59,-38.92838827718412,-214.24042455469979
100,0.05,0.02,20,1,60,-137.53945729601884,-217.24212377378032
100,0.05,0.02,20,1,61,-173.66563145999496,-235.8262138443194
100,0.05,0.02,20,1,62,-131.5460958754395,-233.483681557429
100,0.05,0.02,20,1,63,-170.11985634456667,-225.11703773243278
100,0.05,0.02,20,1,64,-134.9799959983992,-203.02026391143315
100,0.05,0.02,20,1,65,-132.169905660283,-205.82526291193165
100,0.05,0.02,20,1,66,-137.53945729601884,-227.43445755440288
100,0.05,0.02,20,1,67,-130.31004303683676,-206.92695875372138
100,0.05,0.02,20,1,68,-134.9799959983992,-221.12228303205643
100,0.05,0.02,20,1,69,-89.91102314577124,-207.47368614814562
100,0.05,0.02,20,1,70,-137.53945729601884,-226.0666494847475
100,0.05,0.02,20,1,71,-168.3735464897913,-216.75106620008447
100,0.05,0.02,20,1,72,-131.23851208678758,-241.33211016216904
100,0.05,0.02,20,1,73,-127.3698645180507,-210.537138515099
100,0.05,0.02,20,1,74,-131.23851208678758,-211.7423420932702
100,0.05,0.02,20,1,75,-132.169905660283,-208.23918919671533
100,0.05,0.02,20,1,76,-60.35533905932738,-195.50270962275366
100,0.05,0.02,20,1,77,-134.0407993409569,-220.70974433057845
100,0.05,0.02,20,1,78,-52.45906043549196,-203.79114137125364
100,0.05,0.02,20,1,79,-160.08991914547278,-214.72205588335703
100,0.05,0.02,20,1,80,-125.88027898781785,-200.3116839769091
100,0.05,0.02,20,1,81,-123.38388161361178,-213.14432867898893
100,0.05,0.02,20,1,82,-127.75981574503821,-222.9953923597224
100,0.05,0.02,20,1,83,-171.0,-215.88176717750233
100,0.05,0.02,20,1,84,-128.70318264754368,-204.34340770899095
100,0.05,0.02,20,1,85,-95.12205669071392,-195.81503938973546
100,0.05,0.02,20,1,86,-171.0,-220.9586242691338
100,0.05,0.02,20,1,87,-137.53945729601884,-223.4600342703872
100,0.05,0.02,20,1,88,-171.0,-215.04500186687423
100,0.05,0.02,20,1,89,-173.02082881417186,-235.51080210099337
100,0.05,0.02,20,1,90,-131.23851208678758,-219.18199815908054
100,0.05,0.02,20,1,91,-133.10405388322278,-216.9235320622978
100,0.05,0.02,20,1,92,-138.46648326421052,-230.3822395506989
100,0.05,0.02,20,1,93,-127.75981574503821,-217.23864040975317
100,0.05,0.02,20,1,94,-180.24937810560445,-229.6002492041876
100,0.05,0.02,20,1,95,-134.77722635447623,-227.48909846891146
100,0.05,0.02,20,1,96,-133.24954212300622,-194.70976490419397
100,0.05,0.02,20,1,97,-132.169905660283,-230.11751773258868
100,0.05,0.02,20,1,98,-138.46648326421052,-206.07558746620128
100,0.05,0.02,20,1,99,-127.75981574503821,-222.9535973629233
100,0.05,0.02,20,1,100,-66.30375285612676,-204.97308455680638
100,0.05,0.02,20,1,101,-126.8187996428785,-237.8461419972522
100,0.05,0.02,20,1,102,-108.01162633521314,-202.87087136626698
100,0.05,0.02,20,1,103,-103.27007354458868,-205.91644778281477
100,0.05,0.02,20,1,104,-134.9799959983992,-202.43925288167668
100,0.05,0.02,20,1,105,-126.8187996428785,-211.98294619374403
100,0.05,0.02,20,1,106,-132.169905660283,-194.6522528857877
